pitcher_id,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Last Name,First Name,pitcher
643400,Dusten Knight,31,RP,-0.1,0,1,0,5.73,6,0,3,0,0,0,11,11,8,7,4,4,1,9,0,0,1,49,66,7.29,1.364,9,3.3,3.3,7.4,2.25,,Knight,Dusten,643400
630023,Yonny Chirinos,28,RP,0.5,1,0,1,0,2,1,0,0,0,0,7,7,0,0,0,1,0,6,1,0,1,30,,2.25,1.143,9,0,1.3,7.7,6,,Chirinos,Yonny,630023
643361,Kevin Herget,31,RP,-0.1,0,1,0,7.71,3,0,3,0,0,0,7,9,6,6,0,0,0,4,0,0,0,30,50,1.97,1.286,11.6,0,0,5.1,,,Herget,Kevin,643361
607192,Tyler Glasnow,28,SP,0.4,0,0,,1.35,2,2,0,0,0,0,6.2,4,1,1,1,2,0,10,0,0,1,26,287,2.96,0.9,5.4,1.4,2.7,13.5,5,,Glasnow,Tyler,607192
607391,Chris Mazza,32,RP,-0.5,1,0,1,11.81,2,0,0,0,0,0,5.1,9,10,7,3,6,0,5,2,0,1,35,33,13.05,2.813,15.2,5.1,10.1,8.4,0.83,,Mazza,Chris,607391
667498,Robert Dugger,26,RP,0,0,0,,5.06,1,0,1,0,0,0,5.1,8,3,3,0,0,0,7,0,0,1,24,78,0.49,1.5,13.5,0,0,11.8,,,Dugger,Robert,667498
642231,Jimmy Yacabonis,30,RP,-0.3,0,0,,11.57,5,1,2,0,0,0,4.2,8,7,6,1,5,0,6,2,0,0,28,34,7.83,2.786,15.4,1.9,9.6,11.6,1.2,,Yacabonis,Jimmy,642231
676720,Tommy Romero,24,RP,-0.1,1,0,1,7.71,3,1,1,0,0,0,4.2,3,4,4,2,5,0,5,0,0,0,21,52,9.75,1.714,5.8,3.9,9.6,9.6,1,,Romero,Tommy,676720
642657,Cristofer Ogando,28,RP,0,0,0,,4.15,3,0,2,0,0,0,4.1,4,2,2,0,1,0,2,1,0,0,17,96,3.57,1.154,8.3,0,2.1,4.2,2,,Ogando,Cristofer,642657
621433,Brett Phillips,28,RP,-0.3,0,0,,18,3,0,3,0,0,0,4,9,8,8,3,2,0,0,0,0,0,22,22,14.36,2.75,20.3,6.8,4.5,0,0,,Phillips,Brett,621433
681867,Cooper Criswell,25,RP,0.1,0,0,,2.7,1,1,0,0,0,0,3.1,2,1,1,0,1,0,4,0,0,0,13,152,1.61,0.9,5.4,0,2.7,10.8,4,,Criswell,Cooper,681867
542194,Christian Bethancourt,30,RP,0,0,0,,3,3,0,3,0,0,0,3,6,1,1,1,0,0,1,0,0,0,15,139,6.78,2,18,3,0,3,,,Bethancourt,Christian,542194
668834,Easton McGee,24,RP,0.1,0,0,,0,1,0,1,0,0,0,3,4,1,0,0,0,0,1,0,0,0,14,,2.45,1.333,12,0,0,3,,,McGee,Easton,668834
641853,David McKay,27,RP,-0.1,0,0,,18,1,0,0,0,0,0,2,3,4,4,1,2,0,0,0,0,0,11,25,12.61,2.5,13.5,4.5,9,0,0,,McKay,David,641853
644374,Yu Chang,26,RP,-0.1,0,0,,13.5,2,0,2,0,0,0,2,6,3,3,1,0,0,0,0,0,0,11,33,9.61,3,27,4.5,0,0,,,Chang,Yu,644374
